labels,notes,notes_len
0,47 38 40 43 42 35 38 42 38 40 35 35 38 42 38 40 40 35 38 40 38 40 42 43 50 49 47 49 47 49 50 49 47 46 46 47 49 50 52 54 59 61 61 62 64 62 59 57 59 57 55 55 54 54 55 54 52 54 52 54 52 54 59 57 59 57 57 54 55 54 54 52 50 49 49 50 52 54 55 57 55 54 52 54 54 54 59 62 59 62 59 64 64 62 61 61 59 59 57 57 55 54 55 54 52 54 52 50 49 47 50 49 47 45 47 45 43 45 43 45 43 42 42 54,124
0,44 42 44 45 47 45 44 42 35 35 40 44 44 42 40 47 47 44 42 35 45 45 44 42 35 37 35 35 35 35 37 35 47,33
0,40 43 40 35 38 40 43 47 45 50 47 47 42 43 40 42 43 47 50 47 50 52 57 55 54 50 47 50 47 52 35,31
0,39 51 51 49 48 49 48 51 51 49 48 49 46 51 51 49 48 46 46 44 46 48 48 51 51 49 48 49 48 51 51 48 56 58 55 56 58 56 32,39
0,44 51 51 51 44 48 46 43 43 43 51 51 53 55 56 55 46 48 49 48 49 53 53 51 48 46 48 29 31 32 34 39 39 44 39 39 46 39 41 51 34 36 39 41 43 43 43 43 39 41 39 41 36 39 44 46 48 49 51 51 53 51 46 48 51 39 41 46 48 39 41 44 39,73
0,33 38 50 38 41 53 50 53 57 36 40 55 36 40 55 52 55 60 38 41 57 38 41 57 55 53 57 36 40 55 36 40 55 53 52 48 33 38 50 38 41 53 50 53 57 36 40 55 36 40 55 52 55 60 38 41 57 38 41 57 55 53 57 36 40 55 36 40 55 52 50 52 45 50 41 33 40 38 41 33 40 38 38 41 48 46 45 46 48 45 48 50 41,93
0,44 44 44 47 46 47 46 44 46 44 42 44 51 54 51 49 47 46 47 46 42 56 56 54 56 54 51 52 51 49 47 44 51 52 51 47 42 39 40 39 46 50 51 51 51 51 51 51 49 46 47 46 42 44 46 47 46 42 39 40 39 37 37 35 35 39 40 39 35 40 39 35 35 34 34 32 30 32 35 37 39 42 44 47 49 47 49 51 32,89
0,41 43 45 43 41 48 48 45 50 53 52 50 48 45 38 41 43 48 45 43 41 38 41 43 45 45 45 48 45 50 48 45 43 45 41 41 38 45 38 40 41 38 33 38 41 40 41 43 40 36 36 33 38 33,54
0,39 51 50 51 53 50 51 50 43 39 48 46 44 43 44 43 43 44 43 48 50 51 36 38 39 55 50 43 38 43 29 31 34 36 39 51 48 43 41 22 29 22 38 36 34 43 55,47
0,51 49 46 51 49 46 46 49 51 51 51 51 51 49 49 51 54 58 51 54 56 54 54 56 48 49 51 51 49 46 51 49 46 46 49 51 51 51 51 51 49 49 51 54 58 56 54 61 60 59 59 58 56 58 56 54 56 42,58
0,43 46 46 43 41 43 41 39 41 43 46 41 43 48 46 43 39 36 34 36 34 31 46 48 29 51 53 55 58 58 55 53 55 55 53 51 53 50 48 46 36 34 36 41 39 41 43 46 41 39 46 48 51 48 51 55 34 58,58
0,43 43 41 43 43 41 43 41 38 36 38 41 38 38 41 38 38 41 38 36 36 34 36 38 41 36 38 41 38 46 43 41 43 41 38 41 38 36 38 36 34 36 34 31 34 31 29 31 43 43 41 43 41 43 41 38 36 38 36 34 31 36 38 36 34 36 36 36 34 36 38 41 38 36 34 31 29 31 34 31 31 29 31 19 22 24 26 29 31 34 36 38 41 43 46 48 50 53 43 55 43 55 43 55 43 55 43 55 43 55 43 55 43 55 38,115
0,45 45 47 49 42 42 49 47 44 45 47 52 49 40 47 45 40 42 42 42 40 49 50 49 47 40 40 42 33,29
0,44 32 44 46 44 41 42 44 44 32 44 46 47 46 44 42 42 41 39 37 39 44 42 41 39 37 39 39 41 48 46 44 46 42 46,35
0,34 37 37 37 37 37 37 37 37 36 36 36 36 36 36 32 32 41 41 41 41 41 41 41 41 39 39 39 39 39 39 39 39 43 43 43 43 43 43 43 43 41 41 41 41 41 41 41 41 44 44 44 44 44 44 44 44 43 43 43 43 43 43 43 43 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 49 49 48 49,101
0,41 40 38 45 43 41 41 40 36 29,10
0,44 41 44 41 44 46 46 49 46 44 41 39 41 44 41 44 41 44 41 44 46 46 49 46 44 41 39 41 44 41 39 41 39 41 44 46 44 46 49 49 46 46 46 44 46 44 41 39 41 44 44,51
0,39 39 44 42 32 35 37 37 39 42 39 37 39 44 42 32 35 37 37 39 42 39 51 49 49 47 49 49 51 54 54 51 56 56 54 49 47 49 47 49 51 51 44 30,44
0,53 51 48 44 36 41 41 39 41 36 39 43 39 36 41 44 46 44 46 46 49 48 24 27 29 32 32 36 39 41 43 44 46 48 48 53 51 53 51 48 46 48 46 44 41 43 44 43 41 39 41 43 41 29,54
0,42 44 47 40 37 35 44 42 44 47 40 49 47 49 52 44 47 49 42 44 40 37 35 42 40 39 37 35 44 42 44 47 40 37 35 44 42 44 47 40 49 47 49 52 44 47 49 42 44 35 37 35 37 40 32,55
0,33 45 38 50 41 53 40 52 36 48 31 43 26 38 28 40 50 48 46 48 41 43 41 40 41 43 36 41 40 43 41 43 45 45 49 50 52 53 50 52 53 52 50 45 43 45 45 50 48 43 45 43 41 43 43 43 45 43 41 40 38 48 50 48 45 48 43 41 40 41 38 33 57,73
