intro,outro,solo
43 34 44 43 41 39 38 38 46 39 31 41 39 38 36 38 48 46 39 48 44 43 41 43 44 46 43 39 36 44 43 44 43 39 38 41 39,43 41 39 34 43 41 39 38 36 36 36 36 36 34 32 36 34 43 41 39 34 43 41 39 38 39 39 39 39 39 36 39 48 46,43 46 43 46 43 41 39 38 39 41 41 39 34 46 43 46 43 41 39 38 39 39 41 43 46 43 46 43 41 39 38 39 41 41 39 43 44 43 41 39 39 38 39 43
41 41 41 39 36 36 39 41 43 39 34 36 29 34 34 32 32 34 36 36 34 32 27 29,36 36 41 41 41 41 41 43 39 36 34 36 36 36 39 41 39 36 34 34 36 34 36 32 29 29 27 29 29 29 34,48 55 53 24 31 29 55 51 48 46 48 31 27 24 22 24 53 60 58 29 36 34 60 56 53 51 53 36 32 29 27 29 36
41 50 50 52 50 48 45 43 45 45 45 43 45 49 49 49 49 49 50 52 49 50 45 43 45 50 50 52 50 48 45 44 45 45 43 45 40 39 40 39 40 40 45 38 37 38,38 40 41 50 50 52 50 49 45 45 43 45 43 45 43 45 49 49 49 49 49 50 52 49 50 45 43 45 50 50 52 50 49 45 45 44 45 43 43 45 40 40 40 39 40 40 45 38 37 38,38 41 62 57 53 50 38 41 62 57 53 50 38 41 62 57 53 50 38 45 62 57 53 50 37 40 61 57 52 49 37 40 61 57 52 49 37 40 61 57 52 49 40 43 61 57 52 49 38 41 62 58 53 50 38 41 62 58 53 50 38 41 62 58 53 50 43 46 62 58 53 50 41 45 64 61 57 52 40 43 64 61 57 52 38 41 64 61 57 52 37 40 64 61 57 52 38 41 62 57 53 50 38 41 62 57 53 50 38 41 62 57 53 50 38 45 62 57 53 50 37 40 61 57 52 49 37 40 61 57 52 49 37 40 61 57 52 49 40 43 61 57 52 49 38 41 62 58 53 50 38 41 62 58 53 50 38 41 62 58 53 50 43 46 62 58 53 50 40 45 64 61 57 52 64 61 57 52 64 61 38 57
50 47 47 45 38 42 45 50 50 47 47 47 47 47 47 45 42 45 38 38 42 42 40 40 40 38 35 40 42 47 47 45 42 45 42 47 45 42 45 45 50 50 47 45 45 38 45 42 45 50 50 47 47 47 47 47 47 45 42 45 38 38 42 42 40 38 35 42 40 42 40 35 38,33 38 38 38 38 38 33 42 40 42 40 38 38 30 33 42 42 42 35 42 40 38 35 38 35 42 35 38 42 40 33 33 38 38 38 38 38 35 42 40 47 45 45 38 45 42 42 47 47 45 47 47 45 45 38 42 42 45 47 47 47 47 47 47 45,47 38 43 47 45 38 42 45 43 42 40 38 37 33 47 38 43 47 45 33 38 45 43 42 38 47 49 47 45 38 40 42 45 47 42 45 42 45 47 45 42 45 45 47 50 52 54 52 50 49 50 49 47 45 42 50 47 47 42 47 47 45 45 33 38 42 42 40 40 47 45 33
20 23 20 27 25 18 22 18 25 23 20 23 20 27 25 25 23 25 30 27 32 32 32 32 30 25 30 25 27 27 23 20 28 27 23 20 23 25 23,28 28 27 27 25 25 30 25 27 27 23 28 28 27 27 25 25 23 25 27 27 28 28 27 32 32 32 32 30 25 28 27 25 24 20 27 23 23 30 27 27 25 20 23,32 35 32 39 37 30 34 30 37 35 40 39 35 32 35 35 37 42 39 32 35 32 39 37 30 34 30 37 35 40 39 35 32 35 37 35 28
38 46 46 48 46 38 45 45 46 45 43 43 43 46 43 39 39 41 39 38 43 46 48 48 50 48 45 38 46 46 48 46 45 45 46 45 43 43 43 46 43 39 39 41 39 38 43 50 48 46 45 43,38 38 36 34 36 38 38 43 41 38 36 34 36 38 36 36 38 39 43 38 38 38 43 45 46 43 38 46 46 48 46 38 45 45 46 45 43 43 43 46 43 39 39 41 39 38 43 46 48 48 50 48 45 38,38 43 45 50 50 50 50 48 51 48 45 48 51 50 50 48 46 46 45 43 36 38 38 50 47 48 50 39 51 38 50 36 48 39 51 38 50 36 48 36 48 34 46 33 50 33 57 34 55 46 48 33 50 36 45 34 33 45 46 33 45 31 43 38
45 47 42 42 40 38 40 43 45 47 50 52 43 45 47 48 47 47 50 52 50 52 40 47 45 43 45 45 47 38 40 42 45 47 40 43,38 40 43 45 47 42 42 40 38 40 43 45 47 50 52 43 45 47 48 47 47 50 52 50 52 40 47 45 43 45 45 47 38 40 42 45 47 45 40 43,45 45 45 45 45 43 45 47 45 43 40 45 45 45 45 45 45 43 45 47 52 55 57 52 55 50 52 55 50 52 47 38 40 50 45 47 50 47 45 43 50 47 45 43 38
39 44 48 51 44 43 48 51 51 53 55 56 53 51 53 51 48 46 44 43 44 48 46 44 43 44 46 48 46 41 43 46 44,51 48 46 44 51 43 41 43 41 43 41 39 48 51 48 46 44 51 43 41 43 44 44 44 48 46,39 39 44 48 51 39 36 32 44 31 43 48 51 39 36 31 51 29 53 55 37 56 56 53 36 51 34 32 34 36 48 46 41 44 43 44 31 32 48 31 46 37 44 41 39 43 41 44 46 48 38 46 41 41 39 43 43 44 46 36 44 44 27 32 34 51 36
41 41 39 41 46 49 46 41 44 46 49 46 44 41 39 39 39 41 44 44 44 46 48 44 46,46 44 41 39 37 39 39 41 34 32 32 34 37 37 39 41 44 39 41 46 44 41 39 37 39 39 41 34 39 39 41 44 44 41 39,31 43 29 41 27 39 22 34 24 36 25 37 25 37 27 39 24 36 22 34 20 32 24 36 22 34 22 34 46 29 41 53 32 44 56 29 41 53 32 44 56 31 43 55 29 41 53 27 39 51 22 34 46 24 36 48 25 37 49 37 49 61 39 51 63 36 48 60 34 46 58 32 44 56 36 48 60 34 46 58 46
35 35 35 28 33 33 33 33 30 30 30 30 33 37 40 37 35 33 35 35 35 35 32 28 30 42 42 42 42 42 40 42 45 42 40 33 35 35 37 45 44 40 42,42 42 42 40 37 33 35 37 40 40 35 35 35 35 28 35 28 30 30 30 45 45 45 44 45 42 40 37 40 40 37,40 52 37 49 33 45 35 47 37 49 40 52 42 54 40 52 42 54 40 52 35 47 37 49 42 54 35 40 47 52 42 54 40 52 33 37 45 49 35 47 33 45 35 47 45 57 44 56 42 54 40 52 37 49 42 54 42
39 46 46 44 42 39 42 44 44 44 42 44 39 39 41 41 41 39 37 37 39 39 37 34 32 32 30 32 37 34 37 39 44 44 44 46 37 37 39 34 37 39,34 39 39 39 39 42 41 39 39 37 39 34 34 39 39 39 39 42 41 39 37 39 34 32 32 32 32 34 37 34 37 39 34 34 32 30 39 42 44 44 44 46 37 37 39 34 37 39 39 46 46,23 25 28 30 32 35 37 40 42 44 47 49 52 54 39 56 59 61 46 44 42 39 44 44 42 39 41 41 41 39 39 37 37 39 37 34 32 32 32 30 32 34 37 37 34 39 39 42 44 44 44 46 41 37 34 37 39 34
33 30 37 37 37 37 37 37 37 33 35 35 30 30 30 33 33 30 30 33 30 33 30,37 37 37 37 37 37 37 35 33 35 30 30 30 33 33 30 30 33 33 30 33 30 37 37,54 49 30 52 33 30 33 30 45 33 30 47 33 30 49 33 30 33 30 42 33 30 37 33 30 40 33 30 37 33 30 33 30 33 30 49 33 30 33 30 45 33 30 47 33 30 49 33 30 33 30 42 33 30 44 33 30 33 30 42 33 30 33 30 33 37
53 52 48 50 52 55 53 52 50 48 50 50 52 50 47 48 50 52 50 48 47 48 55 50 50 50 50 47 45,43 43 43 43 38 38 36 38 40 40 43 43 43 43 43 48 47 43 47 48 43 48 50 52 50 43 48 47 45 47 48,49 33 33 35 37 38 37 38 40 38 40 41 40 38 36 38 36 35 36 35 33 36 38 36 35 33 35 28 32 28 29 29 31 33 35 26 36 31 36 31 36 31 36 31 33 35 36 41 40 38 36 35 35 36 35 33 33 32 36 29 38 36 35 29 28 26 23 21 20 17 14 16 43
42 44 46 46 46 46 39 46 46 44 44 44 44 44 44 46 44 42 39 42 42 42 42 37 42 44 44 41 39 37 39 42 44 46 46 46 46 39 46 46 44 44 44 44 44 44 46 44 42 39 42 42 42 42 37 42 44 44 41 39 37 39,42 44 46 46 46 46 39 46 46 44 44 44 44 44 44 46 44 42 39 42 42 42 42 37 42 44 44 41 39 37 39 42 44 46 46 46 46 39 46 46 44 44 44 44 44 44 46 44 42 39 42 42 42 42 37 42 44 44 41 39 37 39,51 49 46 51 49 46 46 49 51 51 51 51 51 49 49 51 54 58 51 54 56 54 54 56 48 49 51 51 49 46 51 49 46 46 49 51 51 51 51 51 49 49 51 54 58 56 54 61 60 59 59 58 56 58 56 54 56 42
52 47 50 47 52 47 52 47 49 49 49 47 45 42 47,47 47 47 47 47 47 54 54 52 52 50 50 52 52 54 54 57 57 54 54 54 54 52 52 50 50 54 54 52 52 47 47 50 50 47 47,35 38 40 42 42 47 45 47 50 45 42 45 47 50 45 40 40 42 45 47 50 52 50 47 47 47
42 45 45 45 45 47 45 42 45 40 42 45 45 45 45 47 45 42 40 33 37 35 35 35 35 35 33 35 33 30 40 40 40 40 42 40 37 35 28 30 33,28 28 30 33 37 35 33 35 30 33 37 37 37 40 42 40 37 35 33 35 37 40 40 40 40 37,45 45 45 45 47 45 45 40 42 45 45 47 45 42 40 40 33 37 35 35 35 33 35 33 30 28 40 40 42 40 37 35 35 52 54 57 28 33 37
43 47 45 43 45 47 45 47 50 52 52 52 50 48 50 52 50 38 40 43 43 45 47 48 47 45 43 48 47 45 45 47 43 43,38 43 43 43 45 47 45 47 43 42 43 43 43 43 43 45 43 42 40 42 38 40 40 40 40 45 43 38 42 43 45 47 48 47 45 43,35 33 31 33 31 35 28 33 35 33 30 28 31 28 33 31 33 38
31 35 43 42 40 38 36 36 33 40 38 33 35 31 33 35 38 36 35 31 26 28 35 33 33 31 33 31 35 43 42 43 45 43 43 42 38 38 45 43 31 33 35 35 28 28 26 31 30 33 31,26 31 31 35 36 35 33 31 30 31 33 30 31 36 36 36 35 38 38 35 33 31 31 31 35 38 31 33 28 31 31 35 33 26 35 36 35 33 30 30 33 31 26 28 31 33 35 26 26 28 31 31 40 38 31 35,31 33 35 36 35 34 35 33 31 33 31 31 31 30 28 30 31 33 31 33 35 36 35 33 31 33 31 33 35 36 35 35 36 38 40 38 36 35 33 33 31 30 28 30 31 26 43 47
32 39 44 43 41 41 44 43 41 43 39 44 44 36 36 39 37 37 41 39 39 37 39 39 44 43 41 41 44 43 41 43 39 44 44 44 36 36 39 37 37 36 32 34 32,36 37 39 39 37 36 34 32 32 34 32 31 32 36 36 34 36 37 36 36 36 37 39 39 37 36 34 32 32 34 36 34 32 27 36 34 32 32 39 39 39 39 39 39 39 39 41,32 39 32 44 51 32 44 31 39 31 43 51 31 43 29 41 29 44 51 29 44 27 39 27 44 51 27 44 25 41 25 44 51 25 44 24 39 24 44 51 24 44 22 46 24 48 25 46 26 44 27 46 29 48 31 46 32 44 32 39 32 44 51 32 44 31 39 31 43 51 31 43 29 41 29 44 51 29 44 27 39 27 44 51 27 44 25 41 25 44 51 25 44 24 39 24 44 51 24 44 25 37 36 32 37 36 32 36
33 37 35 37 37 40 42 42 42 42 40 37 37 37 40 42 42 33 35 37 40 37 35 35 35 37 38 38 38 37 35 35 37 33 33 33 35 35,37 37 37 37 37 37 37 35 33 35 30 30 30 33 33 30 30 33 30 28 30,30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 30 33 37
47 45 44 42 40 39 35 40 40 44 32 33 35 37 33 35 40 40 39 37 44 42 47 45 44 42 40 39 35 40 40 44 32 33 35 37 33 35 40 40 37 44 42 39 42 42 40,37 39 40 39 40 39 40 39 40 39 40 39 40 39 40 39 40 39 40 39 40 39 42 39 35 37 39 40 47 45 44 42 40 40 44 42 47 45 44 42 40 39 35 40 40 44 32 33 35 37,33 33 35 33 32 37 33 28 37 33 28 37 33 28 37 33 28 37 33 28 37 40 44 40 44 44 44 40 44 40 44 44 40 44 40 44 40 37 33 28 37 33 28 37 33 28 37 33 28 37 33 28 37 39 35 39 35 39 35 39 35 39 35 39 37 33 28 37 33 28 37 33 28 37 33 28 37 33 28 37 40 44 40 44 44 44 40 44 40 44 44 40 44 40 44 40 37 33 28 37 33 28 37 33 28 37 33 28 37 33 28 37 40 36 33 40 36 33 40 36 39 35 30 39 37 35
32 34 32 31 32 34 36 36 37 36 39 39 32 32 34 34 36 39 39 31 31 32 32 32 34 36 34 32 32 29 31 31 31 32 32,30 30 30 30 27 32 30 27 25 23 25 30 32 34 35 35 35 35 37 35 34 27 32 30 30 35 30 32 35 32 32 30 30 37 30 30 27 30,39 44 47 42 46 47 39 42 46 47 42 46 47 30 39 42 46 47 35 47 42 46 47 39 42 46 47 42 46 47 39 39 42 37 46 35 47 34 39 42 46 47 39 42 46 47 39 42 46 47 37 39 42 35 46 34 47 32 47 39 44 46 47 39 44 39 47 39 44 39 35 47 39 34 44 32 39 42 46 30
50 55 50 46 48 45 46 48 48 53 51 50 48 46 43 45 46 39 45 46 48 50 48 46 45 46 48 46,51 50 51 50 51 50 51 53 48 50 53 57 55 50,51 50 51 53 48 50 50 48 50 48 50 50 49 50 49 50 50 50 50 53 46 48 48 47 48 47 48 48 47 48 48 46 48 46 48 50 45 46 48 46 48 50 51
37 37 45 42 40 37 35 35 37 33 30 35 35 35 37 33 32 30 42 42 42 40 37 45 42 42 37 40 42 40 37 40 37 37 37 45 42 40 37 35 35 35 37 33 30 35 35 35 37 33 32 30,42 42 42 40 37 45 42 42 37 40 42 40 42 37 40 37 37 37 45 42 40 37 35 35 37 33 30 35 35 35 37 33 32 30 42 42 42 40 37 45 42 42 37 40 42 40 37 40 37 37 37 45,40 42 33 35 37 40 42 42 40 37 40 42 40 42 40 37 35 37 35 37 35 33 30 35 40 37 35 37 40 42 42
52 52 47 47 50 50 47 47 52 52 47 47 50 52 52 47 47 49 49 49 49 49 49 50 52 42 42 47 47,47 47 47 47 47 47 54 54 52 52 50 50 52 52 54 54 57 57 54 54 54 54 52 52 50 50 54 54 52 52 47 47 50 50 47 47,35 38 40 42 42 47 45 47 50 45 42 45 47 50 45 40 40 42 45 47 50 52 50 47 47 47
39 39 39 41 42 42 42 34 34 34 34 39 39 34 39 39 41 42 41 41 39 38 39 39 39 39 34 39 39 41 42 42 42 34 34 34 34 39 39 34 39 39 41 42 41 42 41 39 38 39 39,34 37 39 42 41 39 37 39 39 39 39 42 39 37 34 34 39 39 37 37 34 32 32 32 32 30 32 35 34 34,46 39 46 46 44 39 42 44 44 37 44 37 47 46 42 44 46 46 39 46 46 44 39 42 44 44 41 44 42 41 39 34
48 46 44 46 51 51 48 48 50 51 50 46 43 44 46 48 50 51 50 48 46 44 46 48 44 46 51 51 51 50 46 39 43 41 39,34 39 41 41 43 43 41 43 43 41 43 46 43 39 39 34 36 43 41 39 41 43 34 39 41 41 43 43 41 43 43 41 43 46 43 39 39 38 36 43,39 39 38 39 34 34 34 41 44 39 43 41 44 43 46 41 44 39 43 38 41 36 39 34 38 34 33 32 29 34 34 38 29 34 34 38 34 39 34 39 39 43 43 46 39 43 39 41 39 41 39 41 39 41 39 43 46 39 43 34 38 41 38 41 39 43 41 44 43 41 39 38 38 39 38 36 34 34
31 33 35 33 33 31 33 31 33 35 28 28 26 28 31 30 28 38 30 26 28,31 31 31 31 33 31 31 28 28 28 28 28 35 33 33 33 26 35 35 33 31 31 28 28,43 45 47 45 43 45 47 45 43 40 47 43 40 38 43 40 31 38
35 37 40 45 44 42 40 40 35 33 35 35 37 37 45 44 42 40 40 35 33 35 35 37 33 45 44 42 40 40 35 33 35 35 37 37 28 38 37 33 33 35 33,30 33 33 30 33 35 35 30 33 33 30 33 37 37 30 33 33 30 33 33 35 40 37 35 33 30 33 30 33 37 37 35 30 33 33 30 33 35 35,40 37 37 35 35 35 33 28 38 40 37 37 35 35 33 21 33 45 23 44 25 40 26 42 30
49 49 44 44 44 42 41 44 45 47 49 42 45 49 54 54 52 54 50 49 50 49 37 45 44 45 47 49 42 45 44 42 45 44,45 44 42 37 42 44 45 45 42 47 49 42 49 47 49 47 49 45 47 45 47 45 44 42 37 42 44 45 45 47 52 49 42 45 47 49 47 49 40 42 42,37 49 37 49 35 47 37 49 40 52 37 49 33 45 35 47 33 45 35 47 37 49 35 47 33 45 30 42 33 45 35 47 33 45 32 44 37 42 49 49 49 49 54 49 45 47 45 42 45 44 41 42 45
43 50 48 46 41 48 48 50 53 50 48 50 50 48 43 50 48 46 48 43 50 50 45 46 41 43 46 43 46 43 41 50 48 48 43 48 46,38 39 41 50 48 46 38 41 43 50 48 46 41 48 48 41 48 50 53 50 50 48 43 50 48 46 48 43 41 50 48 46 41 43 46 46 46 48 50 48 48 46 53 48,34 41 41 39 38 34 31 34 36 34 33 34 31 33 34 36 38 39 41 41 41 46 45 41 36 38 38 38 41 38 36 34 31 34 36 34 33 34 31 33 34 36 38 39 41 43 46 41 43 46 41 43 46 41 43 46 38 50
43 45 45 45 45 45 43 41 45 45 43 41 43 41 41 41 41 43 43 41 43 45 45 45 45 45 43 41 45 45 43 43 43 45 46 46 46 46 45 43 43 41 38 40 41 41 41 41 41 41 45 40 40 40 40 41 40 38 38,38 33 38 40 41 40 38 45 40 36 38 40 40 40 41 40 38 36 38 38 38 33 38 40 41 40 38 45 40 36 38 40 40 41 40 38 38 41 43 45 45 45 45 43 41 43 43 45 46 46 46 46 45 43 43 41 41 43 45,50 45 50 52 53 52 50 52 48 50 52 52 53 52 50 48 50 48 53 48 53 55 57 55 53 57 55 48 50 52 52 53 52 50 48 50 41 50 46 41 46 48 50 50 43 52 48 43 48 50 52 53 52 50 52 53 55 57 57 57 57 57 38
44 34 44 43 44 43 44 43 44 41 43 41 38 43 44 43 44 46 48 44 41 34 43 44 43 39 36 43 39 36 39 36 43 39 41 39 43 39 41 39 36,44 43 44 43 44 43 44 34 44 43 44 43 44 43 41 41 43 41 38 43 44 43 44 43 44 43 44 43 44 34 44 43 44 43 44 43 44 41 43 41 38 43 44,43 44 43 44 44 43 44 43 44 43 41 39 43 41 44 44 46 44 46 46 44 43 41 43 44 43 43 55 48 60 43 51 50 48 51 50 48 53 51 50 48 46 44 41 39 38 36 39 41 43 44 43 48 44 51
35 37 40 40 40 40 37 40 45 45 45 45 42 37 40 33 33 33 33 33 37 40 40 40 42 37 35 35 35 37 35 33 35 37 40 40 40 40 37 40 45 45 45 45 42 37 40 33 33 33 33 33 35 37 40 40 40 42 37 35 35 35 30 28 33,28 28 28 28 28 30 28 33 33 33 33 33 35 37 35 33 37 37 42 40 37 35 35 35 37 35 33 35 28 28 28 28 28 30 28 33 33 33 33 33 35 37 35 33 37 37 42 40 37 35 35 35 33 30 28 33 35 35,54 52 54 52 49 47 49 47 45 42 45 42 40 37 40 54 52 54 52 49 47 49 47 45 42 45 42 40 37 40 54 52 54 52 49 47 49 47 45 42 45 42 25 40 37 28 40 30 37 35 37 35 33 28 35 37 35 33 32 26 33 32 33 35 33 35 37 42 37 40 54 52 54 52 49 47 49 47 45 42 45 42 40 37 40 28
42 45 50 49 50 45 47 45 42 42 43 42 40 38 38 45 45 40 42 42 45 50 49 50 45 47 45 42 42 43 42 40 38 38 37 38 38,30 33 28 30 26 26 28 26 35 35 35 33 30 30 33 28 30 26 26 28 31 30 28 26 23 26 25 26 26 30 33 38 37 33 35 33 30,26 38 26 38 57 55 54 50 45 45 42 40 30
49 52 40 40 44 47 44 47 44 42 35 35 44 42 35 37 40,50 48 45 48 45 48 45 43 41 45 41 41 52 48 48 45 48 48 50 53 41 41 45,45 52 52 54 55 57 54 52 50 42 54 38 50 35 47 38 50 42 54 41 53 43 55 50
42 44 46 44 46 44 34 37 39 44 42 44 42 34 34 41 39 37 30 32 34 37 37 37 34 39 42 41 39 37 39 42 42 46 44 42 39 42,37 39 34 37 39 34 32 34 30 30 32 34 42 39 37 37 34 32 32 34 37 34 37 42 44 44 41 39 39 42 44 44 44 41 39 39 41 39 42 42 44 46,34 37 39 34 37 39 37 34 32 30 37 37 37 39 34 37 39 37 34 32 30 32 32 37 42 44 46 49 49 46 49 51 53 54 51 51 49 51 51 46 44 42 37 39 34 32 30 37
38 45 48 50 50 50 48 50 53 48 50 48 48 48 45 43 41 45 38 41 43 43 43 43 41 43 45 43 43 43 43 43 43 41 45 45 48 50 50 50 50 50 48 50 53 48 50 48 48 48 45 43 41 45 38 41 43 43 43 43 43 43 41 43 45 43 43 45 48 48 48 45 43 43 41 38,38 45 45 45 41 43 41 40 38 38 36 33 36 38 40 38 38 45 45 41 43 41 40 38 43 48 50 48 45 45 48 50 50 50 50 50 48 50 53 48 50 48 45 38 41 43 43 43 41 43 43 45 48 45 43 41 38 45 48 50 50 50 48 50 53 48 50 48,50 45 48 50 50 50 48 50 53 41 40 38 43 36 45 33 48 48 48 50 33 45 31 43 33 45 38 41 43 43 43 41 43 45 43 24 26 43 29 45 31 48 36 48 38 50 36 48 33 45 36 48 33 45 33 45 36 48 38 50 38 50 36 48 38 50 41 53 40 38 48 50 36 48 45 43 45 41 43 45 36 33 50 53 31 55 55 55 53 55 57 55 33 57 55 36 52 31 50 29 48 26 50 38 50
44 42 40 52 54 57 57 56 54 52 54 54 52 49 52 52 49 52 54 56 57 56 54 49 52 49 47 49 52 49 47 45 47 47 44 42 42 45 40 40 42 45,49 40 42 45 47 45 45 42 45 47 45 47 49 52 42 40 42 47 42 40 45 45 47 49 52 57 54 52 49 47 49 49 49 40 42 45,45 45 45 44 42 40 42 37 40 40 37 40 42 44 47 44 42 40 37 35 37 40 42 37 35 33 35 32 30 30 33 28 30 28 25 28 33 33 30 28 30 33 49
51 52 49 49 56 54 51 47 44 49 44 42 40 42 49 49 47 42 44 42 40,35 37 42 40 42 40 42 35 37 42 40 42 44 42 35 37 42 40 40 37 42 44 42 40 42,45 44 42 40 37 35 47 35 45 40 44 39 42 35 40 44 45 47 45 44 45 52 45 47 54 42 45 35 44
42 46 42 51 46 46 44 42 41 42 44 37 42 37 37 35 35 46 46 42 41 42 44 42,34 34 34 32 34 34 32 34 39 30 32 32 30 32 32 30 32 37 30 35 35 35 34 35 34 34 32 35 34 32 34 34 32 34,41 42 41 34 41 42 41 34 41 42 41 39 41 44 46 44 39 44 46 44 39 44 46 44 39 44 46 44 39 49 47 46 44 37 44 42 34 41 44 42 34 41 42 41 34 41 42 41 34 30 42 30 42 30 42 32 44 30 34 46 34
47 47 45 43 42 40 36 40 47 45 45 45 43 42 40 38 35 38 45 43 43 43 42 40 42 43 36 36 43 43 42 43 45 42 38 47 47 45 43 42 40 36 40 47 45 45 45 43 42 40 38 50 50 48 48 47 45 47 48 47 43 40 38 47 45 43 45 43,40 42 43 42 40 43 42 40 43 42 38 38 40 40 40 42 43 42 40 43 42 40 45 42 38 40 47 47 43 40 42 43 43 43 43 43 40 43 45 42 42 42 42 42 38 45 43 38 47 45 43 47 45 43 45 38 38 45 45 43 47 47 45 43 42 40 36,35 40 42 43 47 42 42 42 42 42 43 38 40 35 40 42 43 47 45 45 45 45 50 48 47 47 35 40 42 43 43 43 43 47 45 42 42 42 45 43 43 45 47 48 47 45 43 50 40
41 41 46 46 37 39 41 41 41 41 46 46 44 44 42 41 41 41 41 46 37 37 39 41 41 41 37 42 42 42 41 37 44 46 48 49 49 49 44 46 46 44 42 41 41 41 41 39 44 46 48 49 49 49 44 46 46 46 49 49 49 49 51 51 44 46 48 49 48 49 53 58 56 54 53 53 51 46 48 49 49 49 51 49 49 48 49 51 49 48 49,49 49 49 49 51 49 49 49 49 48 49 48 49 49 49 49 49 51 49 49 49 49 48 49 48 49 49 49 49 49 51 49 49 49 49 48 49 48 49 49 49 49 49 51 49 49 49 49 48 44 46 48 49 49 49 44 46 46 44 42 41 41 41 41 39 44 46 48 49 49 49 44 46 46 46 49 49 49 49 51 51 44 46 48 49 48 49 53 58 56 54 53 53 51 46 48 49 49 51 49 49 48 49 51 49 48 49 48 44 46 48 49 49 49,32 36 37 36 37 36 37 36 32 36 37 37 36 34 36 37 36 37 36 37 36 37 39 32 36 37 36 36 37 39 36 37 36 37 36 37 36 32 32 37 36 32 37 36 34 36 37 32 36 37 36 37 39 41 42 41 37 36 37 39 32 39 41 42 41 36 37 36 37 36 37 36 32 36 37 36 37 36 37 36 32 36 37 36 37 36 37 36 39 36 37 32 36 37 39 39 39 41 39 41 41 42 46 44 44 46 44 42 41 42 41 39 41 37 36 37 36 37 39 41 42 41 37 39 41 44 39 41 42 41 49
37 35 37 35 35 32 32 35 37 37 35 37 32 30 35 35 32 30 32 30 28 30 28 25 25 30 35 32 32 30 28 25 35 35 32 30 32 30 28 30 28 25,32 35 37 37 35 37 32 30 32 30 32 35 37 37 35 37 35 35 32 32 35 37 37 35 37 32 30 35 35 32 30 32 30 28 30 28 25 25 30 35 32 32 30,49 52 49 47 49 49 52 49 47 49 52 49 47 49 14 15 16 18 20 21 23 25 27 28 30 32 33 35 37 39 40 42 44 45 47 49 51 37 52 54 56 39 40 42 44 44 49 51 52 54 56 59 61 52 49 47 49 61 59 56 54 49 52 54 49 47 49 52 49 47 49 49 47 44 40 42 44 49 47 44 42 40 42 44 32
49 46 49 49 49 51 46 44 42 44 39 42 42 39 49 49 49 46 44 46 49 49 51 49 46 44 42 44 44 44 42 39 42 44 46 49 51 49 51 49 46 44 42 44 42 39 42,51 49 51 49 51 49 46 49 49 49 51 46 44 42 44 39 42 42 39 49 49 49 46 44 46 49 49 51 49 46 44 42 44 44 44 42 39 42 44 46 49 51 49 51 49 46 44 42 44 42 39 42,37 39 42 44 46 44 46 44 42 44 44 42 39 37 39 42 44 46 51 46 44 44 42 44 44 42 44 46 49 46 49 46 44 42 44 42 41 42 37 39 42 44 46 44 42 44 51 39 42
45 45 50 38 40 42 40 33 38 40 45 42 35 38 40 35 33 33 42 45 42 40 38 40 42 40 38 40 38,42 45 45 45 45 47 45 42 40 38 38 35 38 45 45 45 47 45 42 40 33 38 40 45 42 35 38 40 35 33 35 38 40 47,40 40 33 42 45 54 52 50 47 52 52 54 52 33 38 40 45 42 35 38 40 35 33 42 45 42 40 35 38 38 40 42 45 38 28 30 42 33
50 48 41 41 48 45 41 48 48 45 43 50 50 52 53 52 50 45 41 38 40 41 40 41 45 41 38,45 45 45 41 48 45 41 45 41 38 45 45 45 41 48 45 41 43 45 38 40 41 38 50 38 38 41 41 52,33 38 40 41 43 45 48 45 45 48 50 43 43 41 38 33 38 40 41 43 45 48 50 50 53 55 48 50 48 45 43 41 45
35 40 40 40 37 39 35 37 40 40 40 42 39 37 35 39 37 35 37 35 32 37 35,32 32 32 39 37 37 39 40 40 37 39 37 35 32 32 32 39 37 37 39 40 39 40 42 42,39 37 39 35 37 39 42 39 37 39 35 32
30 32 30 28 30 28 30 32 35 32 30 32 32 35 37 37 35 32 32 35 30 32 30 28 30 32 35 37 40 42 44 42 40 40 42 40 32 32 35 30 32 32 30 28,32 35 37 40 35 30 32 30 32 30 28 30 32 32 35 37 40 35 30 32 30 32 30 28 30 28 30 32 30 28 30 28 30 32 35 32 30 32 32 35 37 37 35 32 32 35 30 32 30 28 30 32,44 42 44 40 42 47 42 44 42 40 42 37 39 40 42 35 44 33 42 35 44 32 40 35 42 39 47 35 42 35 44 33 42 32 40 30 42 28 37 30 39 35 40 33 42 32
40 43 45 47 45 43 43 47 50 50 47 50 52 55 52 47 50 47 45 43 47 50 50 47 50 52 55 52 47 45 47 50 50 47 50 52 55 52 47 50 47 45 43 40 38 40 43 45 47 45 43 43,40 38 40 43 40 38 43 45 47 45 43 40 43 40 38 40 43 45 47 45 43 45 40 38 40 43 40 38 43 45 47 45 43 40 43 40 38 40 43 45 47 45 43 43 47 50 50 47 50 52 55 52 47 50,48 46 50 51 46 39 46 48 44 41 43 44 53 51 50 46 39 46 48 43 39 41 46 48 51 55 53 50 48 46 58 60 58 55 55 53 51 50 48 46 43 46 48 43 45 46 45 43 41 38 41 43 40
