intro,outro,solo
30 30 28 25 28 30 32 33 32 28 25 30 30 28 25 28 30 32 33 32 28 30 30 30 28 32 32 33 32 33 35 33 37 35 37 35 30 32 28 32 30,30 30 28 25 28 30 32 33 32 28 25 30 30 28 25 28 30 32 33 32 28 30 30 30 28 32 32 33 32 33 35 33 37 35 33 30 37 32 28 30 35,42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 33 40 37 42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 35 33 30 30 54
47 40 41 47 49 47 45 45 45 44 45 44 40 42 49 49 37 38 40 42 40 42 45 44 44 44 42 41 41 49 47 45 45 44 40 38 37 38 40 42 49 47 45 47 45 45 44 45 45,37 40 40 44 45 45 45 40 40 40 40 45 47 47 47 40 41 47 49 47 45 45 45 44 45 44 40 42 47 35 35 37 38 37 38 42 40 38 37 38 40 40 47 44 45 45 45 40 38 37 38 40 42 49 47 45 47,45 45 45 49 47 44 42 40 40 40 47 45 44 45 47 50 49 51 53 53 54 56 57 54 49 45 47 49 50 49 50 49 50 52 56 45 57 45 57 45 57 49 61 47 59 44 56 42 54 40 52 40 52 40 52 47 59 45 57 44 56 45 57 45 57 43 55 41 53 40 52 38 50 40 52 29 41 37 31 43
44 44 44 42 41 42 41 41 39 39 41 39 41 39 34 37 39 41 41 37,42 42 40 42 47 45 45 45 43 42 43 42 42 40 40 42 40 38 47 45 47 45 42 42 42 40 42 47 45,44 46 44 44 46 42 49 46 42 51 47 42 51 52 51 45 40 45 49 52 54 52 49 52 50 49 50 49 45 47 45 40 38 40 33 33 33 47 45 42 38 35 38 42
41 41 41 43 44 43 39 41 43 43 43 43 44 46 43 41 41 43 44 44 44 48 50 51 50 48 48 50 51 51 51 51 50 48 46 46 44 43 39 48 48 48 48 50 51 50,43 51 43 50 46 48 46 44 46 44 43 44 48 46 43 43 51 53 50 46 48 46 44 46 46 48 48 48 47 48 48 39 41 43 43 43 43 41 41 41,43 41 48 43 41 41 39 46 41 39 36 37 38 39 38 45 39 38 33 36 36 35 33 35 36 38 39 41 43 39 36 43 41 38 50 34 46 41 53 39 51 46 58 44 56 43 55 41 53 43 55 43 46 50 53 58 43
37 47 47 42 40 42 42 40 42 47 42 40 42 47 42 40 42 47 47 47 47 44 42 44 44 42 40 37 44 42 40 35 35 44 44 44 42 40 37 40 42 37 40,32 32 35 37 35 35 35 35 32 35 32 32 35 39 37 35 32 30 32 32 32 30 28 28 25 40 37 35 37 35 32 32 30 28 25 28 30 32 30 28 32 35 37 37 37 37,35 35 37 37 40 40 42 42 44 44 42 42 40 40 37 37 44 37 47 40 37 49 42 44 47 49 42 42 51 39 35 47 42 42 35 44 37 49 40 37 51 44 44 32 44 32 44 32 44 32 44 32 44 42 32 44 40 42 42 40 37 40 42 42 37 40 37 40 42 42 40 37 40 40 42 37 40 40 44 47 47 42 44 49 47 32
44 46 41 41 44 41 46 39 51 51 46 46 48 48 46 44 46 48 48 46 44 46 41 41 44 41 46 39 44 41 44,27 29 32 36 36 36 36 36 34 32 27 29 32 36 36 36 36 36 34 32 36 34 32 32 32 29 32 32 29 32 32 32 32 29 34 34 34 34 34 32 34 32 34 36 39 39 39 39 39 36 36 32 34 36 41 41 41 41 41 39 36 36 36 39 41 41 39 41 41 44 44,56 54 51 49 49 51 49 47 48 36 36 39 37 46 48 51 51 49 47 49 49 47 44 42 44 39 48 39 41 49 41 41 49 41 43 51 43 43 51 43 44 46 44 44 44 46 44 49 49 48 44 41 39 41 44 39 37 35 37 35 39 37 35 32 30 28 27 27 27 27
39 41 39 41 44 46 44 46 49 46 49 46 46 46 44 46 44 41 39 41 44 44 46 44 49 46 44 41 39 41 44 41 39 41 34 37 37 34 32 34 37 39 37 39 39 37 34 39 39 37,44 46 44 49 46 44 41 39 41 44 41 39 41 34 37 37 34 32 34 37 39 37 39 39 37 34 41 41 39 44 46 44 49 46 44 44 41 39 41 44 41 39 41 34 37 37 34 32 34 37 39 37 39 39 37 34 39 39 37 44,44 41 44 41 44 46 46 49 46 44 41 39 41 44 41 44 41 44 41 44 46 46 49 46 44 41 39 41 44 41 39 41 39 41 44 46 44 46 49 49 46 46 46 44 46 44 41 39 41 44 44
44 42 49 46 46 46 46 46 44 42 37 37 42 41 39 41 42 41 39 37 46 46 46 44 46 47 44 46 44 44 42 47 46 42 39 37 46 44 44 42 49 46 46 46 44 46 46 37 42 41 39 41 42 41 39 37 46 46 46 44 46 47 44 46 44 44 42 47 46 47 42 41 42,37 44 42 44 42 44 49 44 42 41 42 41 37 34 41 41 41 41 41 39 39 41 42 44 46 42 39 39 39 39 39 47 46 44 46 37 44 42 44 42 45 44 42 42 46 42 44 42 49 46 46 46 46 46 44 42 37 37 42 41 39 41 42 41 39 37 46 46 46 44 46 47 44 46 44 44 42 47 46 42 39 37 46 44 44,47 51 42 47 47 51 46 49 42 46 47 51 42 47 47 51 46 49 47 51 49 53 47 51 46 49 44 47 42 46 44 47 46 49 47 51 44 49 39 38 38 46 44 42 37 37 38 35 35 42 37 37 38 46 49 47 44 47 46 46 44 42 44 44 44 46 47 46 44 35 39 42 41 39 37 37
43 42 40 40 42 43 43 43 40 42 43 43 43 43 45 43 42 42 42 40 38 42 40 38 35 40 38 40 40 38 35 35 33 31 33 31 33 36 36 35 40 42 43 43 43 40 42 43 43 43 43 45 43 42 42 42 40 38 42 40 38 40 38 40 42 42 43 42 42 43 42 40,35 35 35 40 38 38 36 36 36 36 36 38 33 33 36 35 31 31 31 31 31 40 40 38 35 38 35 43 42 42 43 42 40 40 42 43 43 43 40 42 43 43 43 43 45 43 42 42 42 40 38 42 40 38 35 40 38 40 40 38 35 35 33 31 33 31 33 36 36 35 40 42 43 43 43 40 42 43,35 35 43 40 40 42 42 43 43 43 47 47 45 45 43 43 42 45 45 45 45 42 52 52 50 50 50 50 47 47 45 45 16 40 47 47 42 40 40 42 43 43 43 42 42 43 43 52 52 50 50 42 52 52 50 50 47 47 50 50 47 47 47 55 55 55 55 55 55 55 55 54 54 42 55 55 54 54 16 40 52 52 52 52 54 54 12 47 55 55 55 55 55 55 55 55 59 59 59 59 14 45 59 59 57 57 55 55 57 57 50 50 52 52 11 42 54 54 54 54 54 54 54 54 55 55 57 57 16 40 57 57 55 55 54 54 52 52 38 12 45 45 47 47 40 50 50 48 48 48 48 47 47 48 48 14 42 47 47 45 45 45 45 11 47 48 48 47 47 45 45 43 43 42 42 45 40 40 39 39 16 40 40 40 40 43 42 35 40 35
40 45 40 40 40 40 36 33 28 28 40 38 38 43 43 43 43 43 43 43 45 47 47 40 40 45 40 40 40 40 36 33 28 28 40 38 38 38 38 38 38 31 35 35 33,28 33 33 33 33 33 33 33 33 28 31 29 26 31 31 31 31 31 31 31 33 35 35 28 28 33 33 33 33 33 33 33 33 40 40 38 35 35 35 35 35 28 35 36 35 28 33 33 33,38 40 40 40 40 43 40 43 40 43 40 43 40 43 40 38 40 38 36 33 36 38 38 31 33 36 35 31 33 28 28 33 35 36 38 31 40 40 38 36 33 36 43 40 43 43 36 38 39 38 38 39 38 36 33 36 38 35 36 40 36 35 28
35 37 40 37 33 33 35 37 40 37 33 30 33 35 37 40 40 35 37 35 33,33 35 33 35 37 40 37 35 37 35 33 37 40 37 35 37 35 33 30 28 30 33 30 33 37,49 42 37 47 49 52 49 35 47 37 40 35 42 33 45 30 28 30 28 33 35 37 45 49 40 52 57 35 56 52 47 40 30 37 30 28 30 28 30 28 25 28 30 37 40 37 35 35 37 35 32 28 30 49 47 49 52 49 32 52 30 54 32 30 28 52 33
41 41 44 41 48 46 44 43 43 43 41 39 41 36 41 41 41 36 34 36 34 34 34 34 34 32 34 39 41 36 41 44 41 48 46 44 43 43 43 41 39 41 39 41 44 44 44 41 41 46 48 46 46 41 43 43 43 41 39 41 41,36 41 41 44 43 39 41 39 39 39 36 34 36 38 36 36 41 41 41 36 36 36 34 27 31 31 31 32 34 32 31 29 32 32 32 29 32 34 36 39 34 39 36 41 41 41 39 34 36 38 36 36 41 41 36 34 36 34 34 36 39 39 39 36 39 41 41 41 44 41,36 39 41 36 41 43 46 48 46 44 46 39 41 44 46 48 53 51 48 31 34 36 41 43 44 46 48 46 48 41 44 46 48 46 39 41 46 44 43 41 43 44 48 44 43 41 36
37 37 45 42 40 37 35 35 35 37 33 30 35 35 35 37 33 32 30,42 42 42 40 37 45 42 42 37 40 42 40 42 37 40 37 37 37 45,33 35 37 40 42 42 40 37 35 37 35 37 35 37 28 30 42
